epocas, taxaAprendOculIni, taxaAprendOcul, decaimentoOcul, tipoDecaimentoOcul, taxaAprendSaiIni, taxaAprendSai, decaimentoSai, tipoDecaimentoSai, escolha, NeuroniosCamadaOculta, Usu_func, TaxaRejeicao, K-folds, VarianciaTrei, VarianciaTest, MediaErroTrei, MediaErroTest, Taxa_de_acerto_Trei, Taxa_de_acerto_Test, melhorEpoca
5, 0.5, 0.05000739207569488, 1, 1, 0.4, 0.040005913660555906, 1, 1,3, 22, 1, 0.1, 10, 0.1167598901688803, 0.09828157856129882, 0.08308882820629435, 0.09104255355696354, 90.99842472432675,89.900426742532,4
20, 0.5, 0.05000739207569488, 1, 1, 0.4, 0.040005913660555906, 1, 1,1, 8, 1, 0.01, 10, 0.11524458022277469, 0.09936916230622524, 0.09093555647901148, 0.09929047116226039, 90.60556707136512,88.92005610098177,19
50, 0.5, 0.05000739207569488, 1, 1, 0.4, 0.040005913660555906, 1, 1,5, 50, 1, 0.1, 10, 0.09674002030438393, 0.09055895153797253, 0.0512582382088901, 0.06859732591851284, 93.04018420857165,90.1685393258427,49
100, 0.5, 0.05000739207569488, 1, 1, 0.3, 0.030004435245416926, 1, 1,5, 45, 1, 0.01, 10, 0.09453277972471227, 0.10474839845469214, 0.04649812543080226, 0.08093337981999993, 93.59751589531272,88.1118881118881,72
200, 0.2, 0.2, 2, 0, 0.2, 0.020002956830277953, 1, 1,5, 70, 1, 0.01, 10, 0.08350125424858568, 0.09389212186414983, 0.03929367843186915, 0.06819861461281561, 94.46251663462961,89.5104895104895,175
50, 0.05, 0.05, 2, 0, 0.01, 0.01, 2, 0,3, 11, 1, 0.05, 10, 0.11388438474499393, 0.11211501784928359, 0.09251326835275882, 0.10438976046246226, 90.53832388905458,87.07865168539325,49
50, 0.05, 0.05, 2, 0, 0.01, 0.01, 2, 0,3, 14, 2, 0.05, 10, 0.45488280915312945, 0.3532691085138638, 0.18118743239212728, 0.16818929334126503, 90.25828605553897,90.78014184397163,49
100, 0.03, 0.03, 2, 0, 0.02, 0.02, 2, 0,2, 27, 1, 0.05, 10, 0.10529871941796431, 0.10368037556848747, 0.09783847618876702, 0.10101736071872496, 89.13450730610715,88.38526912181302,99
300, 0.5, 0.05000739207569488, 1, 1, 0.4, 0.040005913660555906, 1, 1,3, 19, 1, 0.05, 10, 0.10804127895062077, 0.09389212186414982, 0.07126454724183137, 0.08423085458797523, 91.96760291276564,89.84485190409026,87
200, 0.3, 0.030004435245416926, 1, 1, 0.1, 0.010001478415138976, 1, 1,5, 43, 1, 0.05, 10, 0.09213358451236428, 0.10368037556848747, 0.048605751370325585, 0.07691651580903949, 93.40048885267758,88.20224719101124,199
